TIME_PERIOD,USDEUR,JPYEUR,GBPEUR,AUDEUR,CADEUR,CHFEUR,CNYEUR,SEKEUR,NZDEUR,MXNEUR,SGDEUR,HKDEUR,NOKEUR,KRWEUR,TRYEUR,RUBEUR,INREUR,BRLEUR,ZAREUR,PLNEUR,ARSEUR
2012-01-02,1.2935,99.52,0.83514,1.2662,1.3195,1.2155,8.1529,8.9275,1.6623,18.021,1.6781,10.0473,7.754,1494.27,2.4376,41.6448,68.95,2.4178,10.4599,4.4733,5.5659
2012-01-03,1.3014,99.86,0.8351,1.2595,1.317,1.2183,8.1941,8.9283,1.6541,17.9613,1.6737,10.1102,7.735,1496.0,2.4505,41.3199,69.13,2.4069,10.4925,4.4744,5.6025
2012-01-04,1.2948,99.43,0.8311,1.2552,1.3153,1.2196,8.1528,8.8985,1.6452,17.7921,1.6698,10.0585,7.7005,1490.61,2.4275,41.216,68.533,2.3706,10.5259,4.4895,5.5725
2012-01-05,1.2832,98.67,0.82675,1.2491,1.3039,1.2187,8.098,8.8461,1.6399,17.604,1.6562,9.9647,7.6825,1482.77,2.4185,41.083,67.913,2.3551,10.5038,4.5054,5.5258
2012-01-06,1.2776,98.56,0.8264,1.2472,1.3051,1.2177,8.0689,8.8388,1.6347,17.5457,1.6528,9.9209,7.6745,1483.11,2.3955,40.85,67.361,2.3523,10.4241,4.4973,5.5081
2012-01-09,1.2728,97.87,0.824,1.2468,1.3086,1.2139,8.0371,8.8343,1.6221,17.4915,1.6512,9.8832,7.657,1477.28,2.3844,40.635,66.825,2.3477,10.3735,4.4821,5.4985
2012-01-10,1.2808,98.39,0.8282,1.2379,1.3021,1.2136,8.0858,8.812,1.6098,17.3805,1.6506,9.9471,7.6555,1478.49,2.3921,40.39,66.339,2.303,10.339,4.4626,5.5267
2012-01-11,1.2718,97.87,0.8259,1.2361,1.2928,1.212,8.0304,8.8087,1.6016,17.3728,1.6441,9.8792,7.6505,1476.82,2.3671,40.3375,65.962,2.2937,10.3476,4.4609,5.4862
2012-01-12,1.2736,97.92,0.83055,1.2303,1.2946,1.2112,8.0467,8.8515,1.5985,17.2985,1.6441,9.8933,7.677,1470.72,2.3545,40.293,65.616,2.2795,10.261,4.4392,5.4911
2012-01-13,1.2771,98.06,0.8332,1.2364,1.3019,1.21,8.0648,8.8892,1.609,17.2983,1.6468,9.9196,7.693,1466.53,2.3642,40.5047,65.704,2.274,10.2672,4.406,5.5059
2012-01-16,1.2669,97.25,0.82745,1.2289,1.2929,1.2093,8.0024,8.8748,1.5982,17.1633,1.6349,9.8422,7.6705,1459.69,2.3482,40.214,65.15,2.2599,10.2512,4.3927,5.4616
2012-01-17,1.279,98.2,0.83045,1.2279,1.2949,1.209,8.0814,8.8376,1.5981,17.2281,1.6413,9.9328,7.6635,1462.15,2.3523,40.2978,64.778,2.2661,10.2672,4.3697,5.5205
2012-01-18,1.2831,98.53,0.83385,1.2344,1.3002,1.2088,8.0985,8.8236,1.5911,17.1517,1.6416,9.9599,7.7045,1465.38,2.361,40.4083,64.667,2.2828,10.3099,4.3478,5.5398
2012-01-19,1.2911,99.19,0.8356,1.2391,1.3012,1.2076,8.1545,8.7605,1.6102,17.1321,1.6449,10.0206,7.662,1466.73,2.362,40.5596,64.917,2.2804,10.2423,4.325,5.5792
2012-01-20,1.2902,99.53,0.8339,1.2379,1.3076,1.2077,8.1732,8.7804,1.6071,17.1248,1.6463,10.0145,7.66,1463.46,2.364,40.4552,64.873,2.2804,10.2858,4.3196,5.5769
2012-01-23,1.3017,100.1,0.83625,1.2332,1.3129,1.2061,8.2179,8.7791,1.6008,17.0627,1.6478,10.1013,7.6645,1471.31,2.369,40.334,65.078,2.2825,10.3027,4.2853,5.6305
2012-01-24,1.3003,100.89,0.8346,1.2429,1.3164,1.2065,8.2062,8.794,1.6092,17.1965,1.6527,10.0912,7.639,1472.98,2.3767,40.1911,65.152,2.2923,10.3843,4.2984,5.6287
2012-01-25,1.2942,101.02,0.83205,1.2367,1.3114,1.2075,8.1713,8.8506,1.6064,17.0297,1.6447,10.0443,7.6825,1461.59,2.366,39.7886,65.027,2.283,10.4134,4.2966,5.612
2012-01-26,1.3145,101.98,0.838,1.2326,1.3166,1.2071,8.2906,8.8775,1.6004,16.9883,1.6511,10.1964,7.6465,1474.33,2.358,39.819,66.047,2.2849,10.2801,4.247,5.7016
2012-01-27,1.3145,101.18,0.83685,1.2326,1.3129,1.2078,8.2995,8.8966,1.5949,17.0004,1.6485,10.1947,7.645,1475.64,2.3389,39.74,64.93,2.2903,10.2035,4.2207,5.7016
2012-01-30,1.311,100.53,0.8358,1.2427,1.3185,1.2046,8.2837,8.8996,1.6042,17.0423,1.6523,10.1707,7.681,1481.36,2.3478,39.895,65.235,2.2919,10.3024,4.2545,5.6832
2012-01-31,1.3176,100.63,0.8351,1.2366,1.3134,1.2048,8.3121,8.8967,1.5918,17.0234,1.6487,10.2194,7.656,1477.99,2.333,39.69,65.136,2.2893,10.253,4.2243,5.7134
2012-02-01,1.3175,100.29,0.8312,1.2312,1.3161,1.2048,8.3088,8.8896,1.5839,17.0668,1.6496,10.2176,7.654,1480.8,2.3232,39.792,64.775,2.2907,10.1889,4.2005,5.713
2012-02-02,1.3094,99.66,0.82765,1.2246,1.3097,1.2048,8.2572,8.8565,1.5728,16.907,1.6339,10.1541,7.648,1466.38,2.314,39.6665,64.35,2.2702,10.1048,4.1997,5.6779
2012-02-03,1.316,100.3,0.8322,1.2311,1.3189,1.205,8.3042,8.848,1.5829,16.8909,1.6401,10.2068,7.644,1470.78,2.3112,39.8093,64.227,2.2706,10.0272,4.1932,5.7049
2012-02-06,1.3042,99.97,0.8281,1.2192,1.3019,1.2067,8.2329,8.8025,1.5721,16.5907,1.6303,10.1135,7.5925,1463.27,2.3017,39.4254,63.978,2.2549,9.945,4.177,5.6504
2012-02-07,1.3113,100.67,0.8302,1.2161,1.3088,1.2087,8.2763,8.8215,1.5747,16.6601,1.637,10.1682,7.6225,1467.38,2.3076,39.287,64.706,2.2636,9.9577,4.1783,5.6845
2012-02-08,1.3274,102.11,0.83495,1.2251,1.3199,1.2114,8.3614,8.8285,1.5814,16.8232,1.6519,10.2927,7.629,1480.91,2.3191,39.559,65.235,2.2853,10.0158,4.1773,5.7593
2012-02-09,1.3288,102.63,0.83665,1.2295,1.3219,1.2103,8.3717,8.8045,1.5896,16.8765,1.6548,10.3056,7.63,1483.8,2.3331,39.5546,65.583,2.2882,10.0959,4.1971,5.7703
2012-02-10,1.3189,102.43,0.8363,1.2381,1.3225,1.2098,8.3013,8.8065,1.5948,16.8943,1.6635,10.2302,7.618,1483.83,2.3305,39.6746,65.272,2.2767,10.19,4.2188,5.7323
2012-02-13,1.3254,102.86,0.83885,1.2326,1.3222,1.209,8.3386,8.8098,1.5867,16.8404,1.6622,10.2782,7.571,1485.49,2.3312,39.576,65.143,2.2757,10.1629,4.1942,5.7589
2012-02-14,1.3169,102.85,0.83765,1.2298,1.3162,1.2075,8.29,8.7814,1.5822,16.7766,1.665,10.2107,7.535,1481.62,2.3307,39.578,65.061,2.2633,10.18,4.191,5.7236
2012-02-15,1.3092,102.73,0.8348,1.2195,1.3053,1.2073,8.2412,8.7861,1.5626,16.6897,1.6513,10.1514,7.5285,1470.35,2.3101,39.3175,64.642,2.2475,10.101,4.1875,5.6934
2012-02-16,1.2982,102.31,0.82845,1.2168,1.3026,1.2072,8.1816,8.8065,1.5695,16.8151,1.6494,10.0678,7.5515,1473.04,2.3048,39.37,64.125,2.2552,10.2131,4.236,5.6488
2012-02-17,1.3159,104.39,0.8311,1.223,1.3093,1.2083,8.2864,8.8316,1.573,16.8317,1.6541,10.2036,7.4975,1480.16,2.3094,39.375,64.795,2.255,10.1882,4.1816,5.7291
2012-02-20,1.3266,105.47,0.8364,1.2303,1.3159,1.2075,8.3511,8.811,1.5777,16.8306,1.6605,10.2873,7.488,1488.11,2.3094,39.4734,65.182,2.2731,10.1688,4.168,5.7754
2012-02-21,1.3222,105.38,0.8364,1.2385,1.3172,1.2073,8.3258,8.8107,1.5839,16.8286,1.6613,10.2547,7.52,1488.88,2.3182,39.45,65.224,2.267,10.2166,4.1837,5.7542
2012-02-22,1.323,106.22,0.8442,1.2441,1.321,1.2072,8.332,8.808,1.5933,16.9605,1.6646,10.2609,7.5,1491.21,2.3173,39.368,65.011,2.2721,10.2085,4.1866,5.761
2012-02-23,1.33,106.72,0.8461,1.243,1.3259,1.2053,8.3787,8.8175,1.5933,16.9869,1.6707,10.3151,7.471,1501.33,2.346,39.36,65.37,2.2648,10.2261,4.1803,5.7905
2012-02-24,1.3412,107.99,0.84815,1.2516,1.3393,1.2048,8.447,8.8225,1.6022,17.1926,1.6841,10.4011,7.4785,1510.31,2.3639,39.185,65.726,2.2943,10.1831,4.1665,5.8426
2012-02-27,1.3388,107.81,0.845,1.2532,1.3432,1.2052,8.4366,8.8334,1.6046,17.3089,1.6869,10.3828,7.4975,1513.46,2.3697,38.8825,65.983,2.2883,10.2086,4.1738,5.8298
2012-02-28,1.3454,108.39,0.8479,1.2486,1.3396,1.205,8.4766,8.8275,1.604,17.2682,1.6846,10.4332,7.48,1513.77,2.358,39.0475,66.039,2.2873,10.1176,4.141,5.8609
2012-02-29,1.3443,107.92,0.8439,1.2414,1.3282,1.2051,8.4608,8.8088,1.5902,17.1949,1.6726,10.4252,7.4405,1502.28,2.345,39.1354,65.81,2.2872,10.008,4.1212,5.8561
2012-03-01,1.3312,107.95,0.8349,1.2353,1.312,1.2052,8.3859,8.8135,1.5909,17.0633,1.6635,10.3245,7.4225,1488.9,2.3343,39.033,65.595,2.2886,9.9496,4.1152,5.799
2012-03-02,1.3217,107.74,0.8327,1.2264,1.3044,1.2062,8.3237,8.8316,1.5851,16.8678,1.6527,10.2548,7.4205,1474.72,2.3277,38.7275,65.371,2.2712,9.9265,4.1074,5.7444
2012-03-05,1.322,107.54,0.83465,1.2354,1.3129,1.2061,8.3392,8.8382,1.604,16.9126,1.6608,10.2628,7.42,1478.08,2.3355,38.712,65.829,2.2844,9.9892,4.126,5.7342
2012-03-06,1.3153,106.66,0.83255,1.2418,1.3137,1.2055,8.3024,8.8906,1.615,16.9779,1.6604,10.2103,7.452,1479.71,2.3485,38.8666,66.271,2.3007,10.0079,4.1495,5.7051
2012-03-07,1.312,105.95,0.8349,1.2423,1.314,1.2052,8.2855,8.924,1.6043,17.0308,1.6554,10.1858,7.448,1476.91,2.3459,39.0299,66.131,2.3209,10.0432,4.1644,5.6908
2012-03-08,1.3242,108.18,0.83865,1.2441,1.3178,1.205,8.3664,8.8894,1.6045,16.9511,1.6593,10.272,7.421,1477.43,2.3514,39.3346,66.7463,2.3298,9.9663,4.1135,5.7437
2012-03-09,1.3191,107.93,0.83595,1.2415,1.3091,1.2053,8.3231,8.9075,1.602,16.746,1.6519,10.2331,7.46,1475.32,2.3493,38.729,65.685,2.3307,9.918,4.0992,5.7232
2012-03-12,1.3119,107.79,0.8392,1.2498,1.3026,1.2056,8.3013,8.9312,1.6092,16.648,1.6551,10.1784,7.4795,1474.62,2.3585,38.845,65.575,2.3745,9.9555,4.1095,5.6976
2012-03-13,1.3057,108.03,0.83575,1.2444,1.2953,1.206,8.2663,8.8889,1.5941,16.5563,1.6482,10.1342,7.4515,1469.15,2.345,38.7063,65.252,2.3778,9.892,4.1243,5.6782
2012-03-14,1.3062,109.16,0.8314,1.2474,1.2927,1.211,8.2719,8.883,1.6082,16.4549,1.6546,10.139,7.547,1474.59,2.3459,38.494,65.343,2.3614,9.996,4.1545,5.6869
2012-03-15,1.3057,108.82,0.83345,1.2422,1.296,1.2096,8.2682,8.916,1.5988,16.5456,1.6511,10.1354,7.5665,1471.81,2.3555,38.413,65.775,2.3468,10.0038,4.1393,5.6848
2012-03-16,1.3116,109.81,0.8295,1.2401,1.299,1.207,8.2926,8.856,1.5942,16.57,1.6529,10.1818,7.548,1475.65,2.3583,38.479,65.757,2.3617,9.9661,4.13,5.7087
2012-03-19,1.315,109.73,0.82845,1.2452,1.3037,1.2067,8.3092,8.877,1.5967,16.6825,1.6549,10.2086,7.5505,1476.89,2.3801,38.4562,66.033,2.3796,9.9593,4.1255,5.7367
2012-03-20,1.3198,110.48,0.8322,1.2586,1.3098,1.2059,8.3395,8.912,1.616,16.7681,1.6672,10.248,7.606,1486.75,2.4,38.6432,66.594,2.4112,10.0581,4.127,5.7593
2012-03-21,1.3225,111.11,0.83495,1.2644,1.3093,1.2058,8.3553,8.9185,1.6209,16.7442,1.6708,10.2689,7.6105,1493.87,2.3989,38.6748,67.018,2.4125,10.1015,4.1525,5.774
2012-03-22,1.3167,109.4,0.8333,1.2696,1.3151,1.2055,8.3039,8.9265,1.6294,16.8642,1.668,10.2252,7.624,1491.16,2.389,38.758,67.448,2.4001,10.166,4.1645,5.7606
2012-03-23,1.3242,109.1,0.8363,1.2745,1.3263,1.2054,8.345,8.924,1.63,17.0186,1.6748,10.2839,7.638,1504.36,2.3862,38.9144,67.898,2.4109,10.2241,4.1682,5.7818
2012-03-26,1.3276,109.82,0.8352,1.2631,1.3223,1.2054,8.3699,8.9277,1.6195,16.8545,1.6734,10.3136,7.609,1513.68,2.3767,38.5,67.98,2.4021,10.1261,4.1376,5.7996
2012-03-27,1.3333,110.57,0.8359,1.2681,1.3233,1.2056,8.3974,8.8935,1.6203,16.8782,1.6744,10.3525,7.571,1511.85,2.3809,38.665,67.698,2.4271,10.1035,4.1367,5.8223
2012-03-28,1.3337,110.74,0.839,1.2824,1.3289,1.2063,8.3967,8.88,1.6304,16.9715,1.6761,10.3536,7.611,1514.05,2.3763,38.9312,67.725,2.4262,10.203,4.1568,5.8323
2012-03-29,1.3272,109.21,0.8358,1.283,1.3271,1.2051,8.3652,8.845,1.6292,16.9975,1.6705,10.3048,7.632,1509.85,2.3677,38.96,68.112,2.4315,10.2562,4.1612,5.8038
2012-03-30,1.3356,109.56,0.8339,1.2836,1.3311,1.2045,8.4089,8.8455,1.6254,17.0222,1.6775,10.3705,7.604,1512.98,2.3774,39.295,68.042,2.4323,10.2322,4.1522,5.8366
2012-04-02,1.3319,109.95,0.83105,1.2841,1.33,1.2044,8.3836,8.8052,1.6251,17.0243,1.6711,10.3429,7.5505,1501.86,2.376,39.22,67.762,2.434,10.205,4.1445,5.8324
2012-04-03,1.3315,109.3,0.83255,1.2848,1.3206,1.2035,8.3781,8.7938,1.6203,16.9593,1.6674,10.3386,7.56,1496.77,2.3677,39.0237,67.514,2.4342,10.2324,4.1357,5.8246
2012-04-04,1.3142,108.22,0.8285,1.2785,1.3079,1.2038,8.2764,8.8185,1.6136,16.873,1.655,10.2058,7.573,1486.18,2.3584,38.6304,67.142,2.406,10.2735,4.1548,5.7588
2012-04-05,1.3068,107.06,0.8242,1.271,1.3042,1.2025,8.2398,8.8134,1.6026,16.8244,1.6476,10.1478,7.5692,1479.25,2.3468,38.66,66.875,2.3942,10.2687,4.1707,5.7325
2012-04-06,,,,,,,,,,,,,,,,,,,,,
2012-04-09,,,,,,,,,,,,,,,,,,,,,
2012-04-10,1.3114,106.48,0.8269,1.2741,1.3092,1.2027,8.276,8.873,1.6043,17.068,1.6532,10.1834,7.5815,1495.43,2.3624,38.898,67.504,2.3836,10.4085,4.1706,5.7505
2012-04-11,1.3131,106.18,0.82595,1.2743,1.3166,1.2011,8.2741,8.907,1.6029,17.2549,1.6521,10.1958,7.604,1501.83,2.3711,38.981,67.592,2.4068,10.4961,4.1937,5.7501
2012-04-12,1.3153,106.54,0.8247,1.2645,1.3132,1.2027,8.2961,8.8912,1.6001,17.2124,1.6507,10.2128,7.61,1500.58,2.3664,38.784,67.855,2.4075,10.4472,4.1802,5.7722
2012-04-13,1.3148,106.49,0.8248,1.264,1.3068,1.2017,8.2869,8.8945,1.5848,17.1913,1.6382,10.2046,7.599,1490.69,2.3536,38.806,67.453,2.4066,10.385,4.1808,5.7772
2012-04-16,1.3024,105.18,0.8227,1.259,1.3029,1.2025,8.225,8.8822,1.5925,17.2429,1.6301,10.1062,7.553,1482.75,2.3453,38.674,67.28,2.3965,10.4033,4.194,5.7156
2012-04-17,1.3132,105.96,0.8234,1.2664,1.3082,1.2018,8.2758,8.8822,1.6034,17.2779,1.6412,10.1902,7.5475,1493.52,2.3515,38.855,67.6,2.4229,10.2708,4.1905,5.7709
2012-04-18,1.3093,106.64,0.81915,1.2628,1.2966,1.2032,8.2468,8.85,1.6003,17.1767,1.6381,10.1617,7.5525,1491.09,2.3456,38.672,67.828,2.4369,10.2517,4.1804,5.757
2012-04-19,1.3086,106.92,0.8171,1.2652,1.2971,1.2021,8.2492,8.8416,1.6031,17.275,1.6382,10.156,7.5485,1491.07,2.3444,38.6575,68.237,2.4693,10.2507,4.187,5.7533
2012-04-20,1.3192,107.81,0.81875,1.2738,1.3075,1.2017,8.315,8.8396,1.619,17.3475,1.6477,10.2391,7.547,1502.75,2.362,38.85,68.73,2.4779,10.3145,4.192,5.7999
2012-04-23,1.3131,106.51,0.8166,1.2769,1.3094,1.2018,8.2786,8.8618,1.6193,17.3139,1.6411,10.1914,7.559,1499.41,2.357,38.787,69.036,2.4711,10.3263,4.2045,5.7829
2012-04-24,1.3161,106.87,0.8154,1.2775,1.302,1.2021,8.2979,8.888,1.617,17.285,1.6417,10.2141,7.5565,1500.43,2.351,38.655,69.326,2.4729,10.277,4.2003,5.8007
2012-04-25,1.3206,107.35,0.8194,1.2771,1.3016,1.2018,8.3269,8.8958,1.6217,17.3461,1.644,10.2468,7.5625,1506.66,2.3417,38.749,69.391,2.4784,10.2555,4.1738,5.8192
2012-04-26,1.3215,106.96,0.8164,1.2736,1.2968,1.2016,8.3069,8.876,1.6196,17.3843,1.6409,10.2543,7.5765,1501.14,2.3359,38.742,69.451,2.4873,10.2582,4.182,5.8331
2012-04-27,1.3229,106.75,0.8153,1.2679,1.2996,1.2014,8.32,8.9024,1.6168,17.3961,1.6396,10.2652,7.588,1499.22,2.328,38.875,69.465,2.4916,10.2584,4.1788,5.8373
2012-04-30,1.3214,105.85,0.81295,1.2684,1.2985,1.2018,8.2976,8.9185,1.6133,17.1563,1.634,10.2526,7.5875,1491.9,2.3234,38.8465,69.644,2.492,10.2304,4.1709,5.8333
2012-05-01,,,,,,,,,,,,,,,,,,,,,
2012-05-02,1.3131,105.31,0.81205,1.2718,1.2977,1.2018,8.2397,8.8884,1.6165,16.9849,1.6292,10.1873,7.5525,1484.06,2.3134,38.7,69.404,2.5105,10.165,4.1693,5.8013
2012-05-03,1.3123,105.49,0.81125,1.2762,1.2917,1.2014,8.2473,8.8713,1.6371,17.0073,1.6307,10.1823,7.5405,1482.52,2.3125,38.7824,70.11,2.534,10.154,4.1629,5.7925
2012-05-04,1.3132,105.41,0.81195,1.283,1.2986,1.2014,8.2812,8.9041,1.6465,17.067,1.6306,10.1925,7.561,1486.5,2.3053,38.875,70.223,2.5107,10.163,4.1848,5.8083
2012-05-07,1.3033,104.19,0.80647,1.2792,1.2983,1.2012,8.1984,8.9105,1.6378,17.184,1.6265,10.1169,7.5635,1482.15,2.3,39.1819,68.958,2.5098,10.202,4.1958,5.7684
2012-05-08,1.3025,104.01,0.80645,1.283,1.2968,1.2014,8.1969,8.8885,1.6456,17.1877,1.6234,10.1095,7.5605,1479.98,2.2994,39.112,69.1875,2.509,10.2376,4.1905,5.7746
2012-05-09,1.295,102.99,0.80495,1.2886,1.3007,1.201,8.1726,8.9097,1.6509,17.4978,1.6232,10.053,7.563,1481.06,2.3236,39.3,69.768,2.5337,10.3988,4.2154,5.742
2012-05-10,1.2961,103.31,0.8018,1.2801,1.2945,1.2013,8.184,8.9448,1.6434,17.4001,1.6199,10.0615,7.5575,1480.27,2.3135,39.037,69.131,2.5456,10.38,4.2292,5.7501
2012-05-11,1.2944,103.48,0.8033,1.2877,1.2997,1.2012,8.1681,8.984,1.6476,17.5015,1.6194,10.0506,7.5815,1485.25,2.3135,39.0134,69.425,2.5305,10.4786,4.2434,5.7452
2012-05-14,1.2863,102.64,0.8,1.2881,1.2911,1.201,8.1325,9.002,1.6534,17.558,1.617,9.989,7.5915,1481.9,2.325,39.0441,69.415,2.5417,10.5421,4.302,5.7137
2012-05-15,1.2843,102.65,0.8001,1.2836,1.2855,1.201,8.1156,9.0437,1.6573,17.5635,1.6128,9.9739,7.6185,1481.04,2.321,39.0452,69.05,2.5539,10.5182,4.3225,5.7
2012-05-16,1.2738,102.53,0.79925,1.2813,1.2832,1.2011,8.0527,9.097,1.6601,17.5848,1.6136,9.8959,7.621,1488.0,2.318,39.3562,69.416,2.5355,10.5861,4.35,5.6582
2012-05-17,1.2682,101.77,0.8008,1.2795,1.2858,1.2011,8.0216,9.1356,1.6625,17.5316,1.6082,9.8521,7.5802,1477.92,2.3199,39.575,69.098,2.544,10.611,4.3484,5.6403
2012-05-18,1.2721,100.95,0.8042,1.2879,1.2939,1.2012,8.0465,9.0996,1.6741,17.4891,1.6195,9.8782,7.5975,1487.92,2.327,39.6685,69.288,2.5376,10.5295,4.336,5.6506
2012-05-21,1.275,101.06,0.8075,1.2969,1.3047,1.2011,8.0604,9.1191,1.6841,17.5896,1.6223,9.8994,7.6265,1490.29,2.3371,39.8647,70.1,2.5842,10.603,4.333,5.6757
2012-05-22,1.2768,101.99,0.8087,1.291,1.2977,1.2011,8.0643,9.089,1.6764,17.4659,1.6213,9.9154,7.5715,1487.01,2.3314,39.7196,70.664,2.6062,10.5302,4.3296,5.692
2012-05-23,1.2659,100.59,0.8044,1.2977,1.294,1.2011,8.0132,9.0605,1.6871,17.6859,1.6169,9.831,7.573,1485.96,2.3409,39.8984,70.897,2.6447,10.6385,4.367,5.644
2012-05-24,1.2557,99.75,0.80095,1.2842,1.2877,1.201,7.9542,8.976,1.666,17.5421,1.6016,9.7491,7.536,1477.95,2.318,39.7675,69.842,2.5565,10.5046,4.3483,5.6117
2012-05-25,1.2546,99.8,0.8003,1.2815,1.289,1.2014,7.947,8.993,1.6563,17.5657,1.6039,9.7395,7.551,1486.23,2.3106,40.051,69.516,2.5435,10.4739,4.353,5.604
2012-05-28,1.2566,99.75,0.8001,1.274,1.2871,1.2019,7.956,8.9982,1.6477,17.517,1.6038,9.7542,7.5359,1483.09,2.3074,40.116,69.345,2.4826,10.461,4.3394,5.617
2012-05-29,1.2523,99.64,0.7994,1.2737,1.2835,1.2015,7.9301,8.9865,1.6481,17.4445,1.6001,9.7224,7.5205,1472.72,2.3008,40.317,69.722,2.4846,10.4489,4.361,5.5934
2012-05-30,1.2438,98.38,0.79775,1.2729,1.2784,1.201,7.892,8.9555,1.6402,17.3868,1.5948,9.6551,7.5145,1465.19,2.293,40.565,69.942,2.4921,10.5086,4.3873,5.5598
2012-05-31,1.2403,97.66,0.7999,1.2736,1.2761,1.201,7.8989,8.9752,1.6439,17.5664,1.5956,9.6307,7.5235,1463.01,2.296,41.2975,69.593,2.4935,10.5726,4.3915,5.5429
2012-06-01,1.2322,96.25,0.805,1.2772,1.2794,1.2008,7.8486,8.9947,1.6422,17.8118,1.5945,9.5629,7.5745,1454.89,2.3048,41.7546,68.519,2.5021,10.6345,4.4125,5.5067
2012-06-04,1.2437,97.16,0.80845,1.2796,1.2923,1.2009,7.9149,9.007,1.643,17.7016,1.6011,9.6515,7.603,1468.74,2.3024,41.81,69.231,2.5388,10.5957,4.399,5.5593
2012-06-05,1.2429,97.25,0.81005,1.2762,1.293,1.201,7.9153,8.969,1.6482,17.6753,1.6012,9.643,7.5945,1467.15,2.3002,41.261,69.161,2.5503,10.51,4.3816,5.5607
2012-06-06,1.2485,98.82,0.8063,1.2661,1.2909,1.2008,7.9453,9.0165,1.6366,17.71,1.596,9.6866,7.6065,1467.38,2.2996,40.6504,69.123,2.519,10.503,4.3498,5.5983
2012-06-07,1.2595,100.08,0.8086,1.2613,1.2892,1.2011,8.0152,8.9664,1.6272,17.5537,1.6025,9.7716,7.5885,1472.47,2.2964,40.641,69.203,2.5557,10.4025,4.27,5.647
2012-06-08,1.2468,98.9,0.80795,1.2665,1.2894,1.2012,7.9486,8.9781,1.6314,17.6203,1.6043,9.6723,7.5995,1464.58,2.2848,40.807,69.154,2.5353,10.5563,4.296,5.5906
2012-06-11,1.2544,99.6,0.8077,1.2602,1.2855,1.201,7.9604,8.864,1.6217,17.4738,1.6061,9.7323,7.556,1468.11,2.2827,40.9194,69.927,2.535,10.491,4.2953,5.6272
2012-06-12,1.2492,99.4,0.80385,1.2601,1.2852,1.2012,7.9594,8.864,1.6097,17.5712,1.6046,9.6923,7.5465,1461.71,2.286,41.08,69.712,2.5654,10.5284,4.3283,5.6089
2012-06-13,1.2534,99.8,0.8063,1.2565,1.286,1.2009,7.96,8.832,1.6094,17.5102,1.6041,9.7241,7.5115,1462.9,2.287,40.905,69.689,2.5783,10.5297,4.324,5.6263
2012-06-14,1.2551,99.51,0.8092,1.2626,1.2885,1.2008,7.9411,8.8373,1.6143,17.6279,1.6102,9.7379,7.507,1464.11,2.289,41.007,70.053,2.5912,10.5901,4.315,5.6354
2012-06-15,1.2596,99.24,0.8119,1.2564,1.2901,1.201,8.0258,8.8353,1.6046,17.5336,1.6037,9.7742,7.524,1466.34,2.291,40.9368,69.798,2.5924,10.5621,4.2984,5.656
2012-06-18,1.2618,99.75,0.806,1.2519,1.2944,1.201,8.0232,8.8412,1.5947,17.566,1.6045,9.7914,7.526,1462.3,2.2883,40.83,70.654,2.5868,10.5249,4.2807,5.6667
2012-06-19,1.2619,99.57,0.8052,1.2416,1.2889,1.2009,8.0203,8.8398,1.5854,17.3461,1.5981,9.7913,7.517,1456.89,2.2756,41.108,70.607,2.5848,10.4145,4.253,5.609
2012-06-20,1.2704,100.24,0.806,1.2456,1.2919,1.2009,8.0809,8.8434,1.5928,17.3916,1.6105,9.8569,7.506,1462.35,2.2797,41.3462,71.339,2.5702,10.4198,4.2393,5.7098
2012-06-21,1.267,101.46,0.80695,1.2444,1.2907,1.201,8.0643,8.836,1.5857,17.3374,1.6102,9.8313,7.496,1462.48,2.2735,41.62,71.338,2.5719,10.4319,4.2537,5.6923
2012-06-22,1.2539,100.68,0.8042,1.249,1.2893,1.2009,7.9809,8.8008,1.5899,17.3916,1.6009,9.731,7.4865,1451.18,2.2661,41.705,71.663,2.5805,10.4821,4.2563,5.5152
2012-06-25,1.2488,99.57,0.80285,1.248,1.2861,1.2008,7.9465,8.8165,1.5881,17.3833,1.6023,9.6908,7.498,1451.66,2.2703,41.47,71.2,2.5932,10.5618,4.2548,5.5452
2012-06-26,1.2475,98.97,0.7996,1.2432,1.2824,1.201,7.9387,8.8204,1.5784,17.3809,1.5983,9.68,7.4995,1445.32,2.2683,41.22,71.126,2.5768,10.5785,4.248,5.6292
2012-06-27,1.2478,99.49,0.7999,1.2384,1.2796,1.2011,7.933,8.8242,1.5804,17.1282,1.5942,9.6814,7.523,1442.7,2.2587,41.1252,71.293,2.585,10.4601,4.2515,5.4735
2012-06-28,1.2418,98.6,0.79885,1.2357,1.2764,1.201,7.8959,8.8009,1.5728,16.9208,1.5884,9.6349,7.5465,1436.46,2.2691,41.143,70.603,2.5898,10.461,4.2872,5.5973
2012-06-29,1.259,100.13,0.8068,1.2339,1.2871,1.203,8.0011,8.7728,1.5746,16.8755,1.5974,9.7658,7.533,1441.0,2.2834,41.37,70.12,2.5788,10.3669,4.2488,5.5988
2012-07-02,1.2593,100.51,0.8041,1.2283,1.2808,1.2015,7.9948,8.744,1.5667,16.7865,1.5959,9.7676,7.5255,1440.68,2.2775,41.0527,69.818,2.5347,10.2766,4.2205,5.6669
